,language,link,symbol
275,vepsian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.vep.vec,vep
276,vietnamese,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.vi.vec,vi
277,volapük,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.vo.vec,vo
278,võro,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.fiu_vro.vec,fiu_vro
279,walloon,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.wa.vec,wa
280,waray,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.war.vec,war
281,welsh,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.cy.vec,cy
282,west flemish,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.vls.vec,vls
283,west frisian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.fy.vec,fy
284,western punjabi,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.pnb.vec,pnb
285,wolof,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.wo.vec,wo
286,wu,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.wuu.vec,wuu
287,xhosa,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.xh.vec,xh
288,yiddish,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.yi.vec,yi
289,yoruba,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.yo.vec,yo
